product_id,indication_id,evidence_text,mapping_method,source_id,confirmed
P000622,IND005,原發性角膜潰瘍、角膜損傷、由酸、鹼性物質引起之角膜灼傷、大泡性角膜炎、膿性角膜炎、？疹性角膜炎,keyword_rule_v1,SRC001,true
P000622,IND009,原發性角膜潰瘍、角膜損傷、由酸、鹼性物質引起之角膜灼傷、大泡性角膜炎、膿性角膜炎、？疹性角膜炎,keyword_rule_v1,SRC001,true
P000623,IND003,眼睛疲勞、結膜充血、眼瞼緣炎、眼瞼糜爛、淚囊炎,keyword_rule_v1,SRC001,true
P000623,IND010,眼睛疲勞、結膜充血、眼瞼緣炎、眼瞼糜爛、淚囊炎,keyword_rule_v1,SRC001,true
P000623,IND011,眼睛疲勞、結膜充血、眼瞼緣炎、眼瞼糜爛、淚囊炎,keyword_rule_v1,SRC001,true
P000624,IND009,結膜或角膜除去異物之後期治療、角膜糜爛及由於溫度或化學物之灼傷所引起之疼痛、三叉神經所引起角膜或結膜組織疼痛,keyword_rule_v1,SRC001,true
P000625,IND008,眼部表層麻醉劑,keyword_rule_v1,SRC001,true
P000626,IND999,急性角膜單純？疹,keyword_rule_v1,SRC001,false
P000627,IND002,眼臉炎、過敏性結膜炎、角膜炎,keyword_rule_v1,SRC001,true
P000627,IND003,眼臉炎、過敏性結膜炎、角膜炎,keyword_rule_v1,SRC001,true
P000627,IND005,眼臉炎、過敏性結膜炎、角膜炎,keyword_rule_v1,SRC001,true
P000628,IND999,急性角膜單純？疹,keyword_rule_v1,SRC001,false
P000629,IND002,過敏性結膜炎、眼瞼緣炎、角膜炎,keyword_rule_v1,SRC001,true
P000629,IND003,過敏性結膜炎、眼瞼緣炎、角膜炎,keyword_rule_v1,SRC001,true
P000629,IND005,過敏性結膜炎、眼瞼緣炎、角膜炎,keyword_rule_v1,SRC001,true
P000630,IND010,眼睛疲勞（調節性、肌性眼睛疲勞）初發性老花眼、調節麻痺輻軸不全、內轉隱斜視,keyword_rule_v1,SRC001,true
P000631,IND003,眼瞼炎、結膜炎、角膜炎、強膜炎、上強膜炎、虹彩炎、虹彩毛樣體炎,keyword_rule_v1,SRC001,true
P000631,IND005,眼瞼炎、結膜炎、角膜炎、強膜炎、上強膜炎、虹彩炎、虹彩毛樣體炎,keyword_rule_v1,SRC001,true
P000632,IND003,結合膜炎、瞼炎、角膜潰瘍、眼瞼炎、淚囊炎、結合性角膜炎、角膜炎、鞏膜表面炎,keyword_rule_v1,SRC001,true
P000632,IND005,結合膜炎、瞼炎、角膜潰瘍、眼瞼炎、淚囊炎、結合性角膜炎、角膜炎、鞏膜表面炎,keyword_rule_v1,SRC001,true
P000633,IND004,縮瞳劑用於控制慢性青光眼之眼壓,keyword_rule_v1,SRC001,true
P000633,IND007,縮瞳劑用於控制慢性青光眼之眼壓,keyword_rule_v1,SRC001,true
P000634,IND004,縮瞳劑用於控制慢性青光眼之眼壓,keyword_rule_v1,SRC001,true
P000634,IND007,縮瞳劑用於控制慢性青光眼之眼壓,keyword_rule_v1,SRC001,true
P000635,IND004,縮瞳劑用於控制慢性青光眼之眼壓,keyword_rule_v1,SRC001,true
P000635,IND007,縮瞳劑用於控制慢性青光眼之眼壓,keyword_rule_v1,SRC001,true
P000636,IND004,青光眼,keyword_rule_v1,SRC001,true
P000637,IND004,急慢性青光眼,keyword_rule_v1,SRC001,true
P000638,IND004,急、慢性青光眼,keyword_rule_v1,SRC001,true
P000639,IND004,青光眼,keyword_rule_v1,SRC001,true
P000640,IND002,急性結膜炎、角膜潰瘍、盤狀角膜炎、過敏性結膜炎、過敏性瞼緣炎、急慢性虹膜炎及虹膜睫狀體炎,keyword_rule_v1,SRC001,true
P000640,IND003,急性結膜炎、角膜潰瘍、盤狀角膜炎、過敏性結膜炎、過敏性瞼緣炎、急慢性虹膜炎及虹膜睫狀體炎,keyword_rule_v1,SRC001,true
P000640,IND005,急性結膜炎、角膜潰瘍、盤狀角膜炎、過敏性結膜炎、過敏性瞼緣炎、急慢性虹膜炎及虹膜睫狀體炎,keyword_rule_v1,SRC001,true
P000641,IND004,急、慢性青光眼,keyword_rule_v1,SRC001,true
P000642,IND004,急、慢性青光眼,keyword_rule_v1,SRC001,true
P000643,IND002,非化膿性瞼炎、瞼結合膜炎（皮脂溢出性、葡萄球菌性及過敏性）非化膿性結合膜炎（細菌性及過敏性）,keyword_rule_v1,SRC001,true
P000643,IND003,非化膿性瞼炎、瞼結合膜炎（皮脂溢出性、葡萄球菌性及過敏性）非化膿性結合膜炎（細菌性及過敏性）,keyword_rule_v1,SRC001,true
P000644,IND011,眼充血,keyword_rule_v1,SRC001,true
P000645,IND003,非特異性表面角膜炎、深部角膜炎、紅斑角膜炎、無膿角膜炎、敏感性結膜炎、再發性眼瞼潰瘍、以及外部無膿細菌性感染,keyword_rule_v1,SRC001,true
