substance_id,raw_name,normalized_name,base_substance_group,source_id
sub_tfda_9200024911,CNIDIUM RHIZOMA EXTRACT,cnidium rhizoma extract,cnidium rhizoma extract,tfda_open_data_info43_cached_20260711
sub_tfda_4020101302,LYSINE L-,lysine l-,lysine l-,tfda_open_data_info43_cached_20260711
sub_tfda_4020101503,METHIONINE DL-,methionine dl-,methionine dl-,tfda_open_data_info43_cached_20260711
sub_tfda_2004401100,FERROUS FUMARATE,ferrous fumarate,ferrous fumarate,tfda_open_data_info43_cached_20260711
sub_tfda_8813000300,INOSITOL FROM YEAST CONC.,inositol from yeast conc.,inositol from yeast conc.,tfda_open_data_info43_cached_20260711
sub_tfda_0808002900,ANTIMONY POTASSIUM TARTRATE,antimony potassium tartrate,antimony potassium tartrate,tfda_open_data_info43_cached_20260711
sub_tfda_9200030580,ETHYL NITRITE SPIRIT,ethyl nitrite spirit,ethyl nitrite spirit,tfda_open_data_info43_cached_20260711
sub_tfda_2808800882,CAMPHORATED OPIUM TINCTURE,camphorated opium tincture,camphorated opium tincture,tfda_open_data_info43_cached_20260711
sub_tfda_8810109900,THIAMINE(HCL),thiamine(hcl),thiamine(hcl),tfda_open_data_info43_cached_20260711
sub_tfda_4028001100,ISOSORBIDE,isosorbide,isosorbide,tfda_open_data_info43_cached_20260711
sub_tfda_2812001310,VALPROATE SODIUM,valproate sodium,valproate sodium,tfda_open_data_info43_cached_20260711
sub_tfda_2808800880,OPIUM TINCTURE,opium tincture,opium tincture,tfda_open_data_info43_cached_20260711
sub_tfda_2808800881,OPIUM CAMPHOR TINCTURE,opium camphor tincture,opium camphor tincture,tfda_open_data_info43_cached_20260711
sub_tfda_8408000180,CAMPHORATE TINCTURE,camphorate tincture,camphorate tincture,tfda_open_data_info43_cached_20260711
sub_tfda_2408000300,CAPTOPRIL,captopril,captopril,tfda_open_data_info43_cached_20260711
sub_tfda_2812009200,PREGABALIN,pregabalin,pregabalin,tfda_open_data_info43_cached_20260711
sub_tfda_0400004110,TRIPROLIDINE HCL,triprolidine hcl,triprolidine hcl,tfda_open_data_info43_cached_20260711
sub_tfda_4800003640,EXTRACTUM PLATYCODI LIQUIDUM,extractum platycodi liquidum,extractum platycodi liquidum,tfda_open_data_info43_cached_20260711
sub_tfda_5612005210,PICOSULFATE SODIUM,picosulfate sodium,picosulfate sodium,tfda_open_data_info43_cached_20260711
