license_number,chinese_name,english_name,dosage_form_raw,route_raw,candidate_reason,exclusion_reason,source_id,verified_at
衛署藥製字第043981號,欣膚淨乳膏,NEOCOMB CREAM,乳膏劑,,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第044012號,〝杏輝〞黴可舒乳膏１％,"MENTAX CREAM 1% ""SINPHAR""",乳膏劑,,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第044043號,"""元昊""欣膚健乳膏","SSD Cream ""DI""",乳膏劑,,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第044070號,雙合　黴素靜脈注射劑,SOONMELT FOR INTRAVENOUS INJECTION,乾粉注射劑,,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第044089號,福聯乳膏,SUPERFOUR CREAM,乳膏劑,取適量塗敷於患部，一天2~3次。,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第044126號,"""永勝""柔芙白美白凝膠２０公絲/公克（氫酉昆）","ZO-WHITE WHITEN GEL 20MG/GM (HYDROQUINONE)""EVEREST""",外用凝膠劑,,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第044160號,"""正和""鬪痘凝膠20公絲/公克","DODOU GEL 20MG/G ""C.H.""",外用凝膠劑,,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第044234號,多息炎　凝膠１０公絲/公克,INDOCIN GEL 10MG/GM,外用凝膠劑,,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第044235號,元福四聯親水性軟膏,QUAINTCREAM CREAM,軟膏劑,,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第044252號,美西乳膏,B.C. CREAM,乳膏劑,,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第044256號,寧疤寧除痘乳膏,080 ANTIACNE CREAM,乳膏劑,,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第044260號,“寧疤寧”袪斑乳膏(複方),“080”Antispots Cream (Complex),乳膏劑,,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第044268號,"""大豐""可達黴素凝膠10毫克/公克","CLINDAMYCIN GEL 10MG/G ""T.F.""",外用凝膠劑,,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第044285號,”愛您美”消痘乳膏0.5公絲/公克,"SHAUDOU CREAM 0.5MG/G ""A.M.""",乳膏劑,,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第044312號,寧疤寧治疤乳膏,080 ANTISCAR CREAM,乳膏劑,,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第044367號,"""岳生""撲敏乳膏0.5毫克/公克",BESTSON CREAM 0.5MG/GM,乳膏劑,,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第044394號,"""岳生""洛宜乳膏0.5毫克/公克",BETASOL CREAM 0.5MG/GM,乳膏劑,,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第044400號,艾妮美凝膠0.5毫克/公克,ANIMEI GEL 0.05%,外用凝膠劑,,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第044466號,"""杏輝"" 輝克癒蘇注射劑６毫克/毫升","PHYXOL INJECTION 6MG/ML ""SINPHAR""",注射劑,詳如仿單,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第044568號,天之麗乳膏0.1%（瑞婷羅）,CHEINA CREAM 0.1% (TRETINOIN),乳膏劑,,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第044611號,"""政德"" 淨癌順注射液６毫克/毫升","GENAXOL INJECTION 6MG/ML ""GENTLE""",注射劑,,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第044616號,潔樂擦乳膏0.1%,ABOCOAT CREAM 0.1%,乳膏劑,,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第044800號,"""南光""安利民 注射液","AMINOPAN INJECTION ""N.K.""",注射液劑,,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
