review_id,license_number,product_id,issue_type,raw_value,standard_value,source,reason
review_leaflet_0088,衛署藥輸字第016765號,eye_formal_024,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0089,衛署藥輸字第024766號,eye_formal_040,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0090,衛部藥製字第060271號,eye_formal_046,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0091,衛署藥輸字第024294號,eye_formal_069,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0092,衛部藥輸字第026946號,eye_formal_079,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0093,衛署藥製字第048925號,eye_formal_083,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0094,衛部藥輸字第026908號,eye_formal_088,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0095,衛部藥輸字第028371號,eye_formal_109,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0096,衛署藥輸字第023537號,eye_formal_128,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0097,衛部藥製字第059755號,eye_formal_160,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0098,衛署藥輸字第020997號,eye_formal_162,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0099,衛部藥製字第061118號,eye_formal_165,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0100,衛署藥製字第038990號,eye_formal_169,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0101,衛署藥輸字第025023號,eye_formal_183,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0102,衛署藥輸字第023384號,eye_formal_200,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0103,衛部藥輸字第028848號,eye_formal_208,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0104,衛署藥製字第003572號,eye_formal_229,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0105,衛部藥製字第061475號,eye_formal_237,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0106,衛署藥輸字第018605號,eye_formal_240,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0107,衛署藥製字第016303號,eye_formal_245,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
review_leaflet_0108,衛署藥製字第019915號,eye_formal_248,leaflet_or_optional_data_unavailable,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted,,enrichment review,cached official TFDA leaflet file is not a renderable PDF or is an HTML/error response; no redownload attempted
