商品名,英文品名,許可證字號,許可證種類,劑型,規格,包裝,適應症,排除原因,命中關鍵字
"""人人"" 快鼻通膠囊","NORDRINE CAPSULES ""GCPC""",衛署藥製字第039647號,製 劑,膠囊劑,PSEUDOEPHEDRINE HCL;;CARBINOXAMINE MALEATE;;CAFFEINE ANHYDROUS,鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
"""人人"" 溴敏達酏劑","EXTAMINE-P ELIXIR ""GCPC""",衛署藥製字第038138號,製 劑,酏劑,PHENYLEPHRINE HCL;;BROMPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼部及喉部搔癢。,非眼科外用最終劑型,眼
"""人人"" 溴敏錠","EXTAMINE TABLETS (BROMPHENIRAMINE) ""GCPC""",衛署藥製字第016351號,製 劑,錠劑,BROMPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻涕、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""人人"" 鼻爽膠囊","NOSEZYM CAPSULES ""GCPC""",衛署藥製字第025674號,製 劑,膠囊劑,PHENYLEPHRINE HCL;;CAFFEINE ANHYDROUS;;CARBINOXAMINE MALEATE;;LYSOZYME (CHLORIDE);;GLYCYRRHIZINIC ACID (EQ TO GLYCYRRHETINIC ACID GLYCOSIDE)(EQ TO GLYCYRRHIZIC ACID ),瓶裝;;盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
"""人人""乙醯偶氮胺錠","ACETAZOLAMIDE TABLETS ""GCPC""",內衛藥製字第007548號,製 劑,錠劑,ACETAZOLAMIDE,塑膠瓶裝,青光眼及下列疾患之輔助治療：水腫、癲癇,非眼科外用最終劑型,眼；青光眼
"""人人""鹽酸二苯胺明膠囊","DIPHENHYDRAMINE HCL CAPSULES 25MG ""GCPC""",內衛藥製字第009864號,製 劑,膠囊劑,DIPHENHYDRAMINE HCL,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""人生"" 樂涕克錠","ROMTEC TABLETS ""J.S.""",衛署藥製字第022033號,製 劑,錠劑,PSEUDOEPHEDRINE HCL;;CARBINOXAMINE MALEATE,PTP 鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀﹝鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢﹞,非眼科外用最終劑型,眼
"""人生""溴敏錠","BROMPHENIRAMINE TABLETS ""J.S.""",衛署藥製字第013638號,製 劑,錠劑,BROMPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""人生""縮水蘋果酸氯芬尼拉明錠4毫克","CHLORPHENIRAMINE MALEATE TABLETS 4MG ""JEN SHENG""",內衛藥製字第012940號,製 劑,錠劑,CHLORPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""人生""脫利炎錠","TRIAMCINOLONE TABLETS ""JEN SHENG""",衛署藥製字第005185號,製 劑,錠劑,TRIAMCINOLONE,瓶裝,類風濕性關節炎、支氣管氣喘、過敏性疾患、皮膚疾患、炎症性眼疾患、僂麻質斯疾患,非眼科外用最終劑型,眼
"""仙台"" 排敏涕錠","PIMENTI TABLETS ""SENTAI""",衛署藥製字第021174號,製 劑,錠劑,CARBINOXAMINE MALEATE;;PSEUDOEPHEDRINE HCL,鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
"""信東"" 信諾隆靜脈輸注液２毫克/毫升",CINOLONE IV INFUSION 2MG/ML,衛署藥製字第038555號,製 劑,注射劑,CIPROFLOXACIN,玻璃瓶裝,成人：對CIPROFLOXACIN有感受性之細菌所引起之呼吸道感染、中耳炎、竇炎、眼感染、腎臟及泌尿道感染（包括淋病）、腹部感染（包括腸炎、膽囊炎、腹膜炎）、皮膚及軟組織感染、骨髓炎、關節感染、菌血症。小孩︰大腸桿菌引起之複雜性泌尿道感染和腎盂腎炎(1-17歲)、綠膿桿菌有關之囊腫性纖維化產生急性肺部惡化的現象(5-17歲)。成人和小孩：吸入性炭疽病(接觸後)。,非眼科外用最終劑型,眼
"""信東"" 硫酸阿托品注射液","ATROPINE SULFATE INJECTION ""TBC""",衛署藥製字第004951號,製 劑,注射劑,Atropine sulfate monohydrate,玻璃安瓿裝;;盒裝,膽石症、幽門痙攣、胃酸過多、胃痙攣、有機磷化物、毛果芸香鹼中毒、診斷用散瞳、調節痙攣、乙醚等麻醉時之抑制支氣管分泌,非眼科外用最終劑型,散瞳
"""信東""安可健注射液",VAGOSTIN INJECTION,內衛藥製字第001976號,製 劑,注射劑,NEOSTIGMINE METHYLSULFATE,安瓿,腸管麻痺、筋無力症、血管痙攣性疾患、眼筋無力症,非眼科外用最終劑型,眼
"""信東""縮蘋酸氯菲安明錠4毫克","CHLORPHENIRAMINE MALEATE TABLETS 4MG ""SINTONG""",內衛藥製字第008058號,製 劑,錠劑,CHLORPHENIRAMINE MALEATE,鋁箔盒裝;;玻璃瓶裝,緩解過敏性鼻炎，枯草熱所引起之相關症狀（流鼻涕，打噴嚏，眼睛及喉部搔癢）及過敏所引起之搔癢．皮膚癢疹．,非眼科外用最終劑型,眼
"""信東""鏈黴素注射劑１克","STREPTOMYCIN INJECTION 1GM ""TBC""",內衛藥製字第001681號,製 劑,乾粉注射劑,STREPTOMYCIN (SULFATE),盒裝;;玻璃小瓶裝,結核菌感染症、結核性腦脊髓膜炎、急性血行性粟粒結核、咽頭及喉頭結核症、氣管及支氣管結核性潰瘍、結核性肉芽增殖、乾骼性肺炎、滲出性肺結核、結核性皮膚瘻孔、潰瘍性腸結核、結核性腹膜炎、結核性心內膜炎、眼結核等,非眼科外用最終劑型,眼
"""健康""喜敏錠","HEAMIN TABLETS ""HEALTH""",內衛藥製字第016698號,製 劑,錠劑,CHLORPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹,非眼科外用最終劑型,眼
"""優生""優林錠","EUGEN TABLETS ""YU SHENG""",衛署藥製字第033388號,製 劑,錠劑,PSEUDOEPHEDRINE HCL;;TRIPROLIDINE HCL,鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
"""優生""得嘉能錠","DECALON TABLETS ""YU SHENG""",衛署藥製字第003171號,製 劑,錠劑,DEXAMETHASONE,瓶裝,僂麻質斯性關節炎、膠原病、過敏性疾患、結合織炎及關節炎、重症皮膚疾患及炎症性眼科疾患、肉芽腫,非眼科外用最終劑型,眼；眼科
"""優生""美德錠5公絲（美奎塔令）","MEQUIT TABLETS 5MG ""YU SHENG "" (MEQUITAZINE)",衛署藥製字第038873號,製 劑,錠劑,MEQUITAZINE,鋁箔盒裝;;瓶裝,過敏性鼻炎、蕁麻疹、枯草熱、血管神經性水腫、季節性結膜炎藥物過敏,非眼科外用最終劑型,結膜炎
"""優良""優得松注射劑（的剎美剎松）",UDEXON INJECTION (DEXAMETHAS0NE),衛署藥製字第019466號,製 劑,注射劑,DEXAMETHASONE PHOSPHATE (SODIUM),安瓿;;小瓶,內分泌不正常、風濕性病變、膠原病、皮膚病、過敏、眼疾、胃腸疾病、呼吸道疾病、血液病變、贅瘤疾病、結核性腦膜炎、腦水腫、腎上腺質機能亢進的診斷,非眼科外用最終劑型,眼
"""優良""敏安錠４毫克（縮蘋酸卡比諾沙明）",MIAN TABLETS 4MG (CARBINOXAMINE MALEATE),衛署藥製字第025465號,製 劑,錠劑,CARBINOXAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(流鼻水、打噴嚏、眼睛及喉部搔癢)及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""元宙"" 敏立克錠","BENDEC TABLETS ""Y.C.""",衛署藥製字第033189號,製 劑,錠劑,CARBINOXAMINE MALEATE;;PSEUDOEPHEDRINE HCL,鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
"""元宙""佩舒敏糖漿","Besumin syrup ""Y.C.""",衛署藥製字第047615號,製 劑,糖漿劑,LORATADINE,塑膠瓶裝,緩解過敏性鼻炎之相關症狀，如流鼻水、鼻塞、搔癢及緩解眼睛搔癢和灼熱感。,非眼科外用最終劑型,眼
"""元宙""吉敏錠０．５毫克（貝皮質醇）","CHIMIN TABLETS 0.5MG ""Y.C.""(BETAMETHASONE)",衛署藥製字第024843號,製 劑,錠劑,BETAMETHASONE,塑膠瓶裝,風濕樣關節炎、結節性動脈周圍炎、支氣管氣喘、過敏性疾患、炎症性眼疾患、及火傷、大小手術之發炎感染症,非眼科外用最終劑型,眼
"""元宙""得敏泰錠5毫克(美奎塔令)","MEQAZINE TABLETS 5MG ""Y.C."" (MEQUITAZINE)",衛署藥製字第040979號,製 劑,錠劑,MEQUITAZINE,PTP 鋁箔盒裝;;塑膠瓶裝,過敏性鼻炎、乾草熱、蕁麻疹、濕疹，血管性神經水腫、季節性結膜炎、藥物過敏。,非眼科外用最終劑型,結膜炎
"""元宙""鼻敏康錠","Perdicon Tablets ""Y.C.""",衛部藥製字第058332號,製 劑,錠劑,CHLORPHENIRAMINE MALEATE;;PHENYLEPHRINE HCL;;CAFFEINE ANHYDROUS,PTP 鋁箔盒裝;;塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
"""利達""右氯敏錠","DEXCHLORPHENIRAMINE TABLETS ""LITA.""",衛署藥製字第013195號,製 劑,錠劑,DEXCHLORPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""利達""舒敏錠２．５毫克（普洛利定）","SUMIN TABLETS 2.5MG ""LITA"" (TRIPROLIDINE)",衛署藥製字第026100號,製 劑,錠劑,TRIPROLIDINE HCL,塑膠瓶裝,暫時緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""十全"" 克鼻敏錠","KOMPIMIN TABLETS ""S.C""",衛署藥製字第038462號,製 劑,錠劑,PSEUDOEPHEDRINE HCL;;CARBINOXAMINE MALEATE,鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀﹝鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢﹞,非眼科外用最終劑型,眼
"""十全"" 敵敏錠（右旋－縮蘋果酸氯菲安明）","DEMINLIN TABLETS ""S.C."" (DEXCHLORPHENIRAMINE MALEATE)",衛署藥製字第022856號,製 劑,錠劑,DEXCHLORPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""十全"" 瑞利淨錠","RELIZINE TABLETS ""S.C.""",衛署藥製字第026405號,製 劑,錠劑,PSEUDOEPHEDRINE HCL;;TRIPROLIDINE HCL,鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀〈流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
"""十全"" 驅敏持續釋放膜衣錠","Cetipo E.R. F.C. Tablets ""S.C.""",衛署藥製字第048125號,製 劑,持續釋放膜衣錠,PSEUDOEPHEDRINE HCL;;CETIRIZINE DIHYDROCHLORIDE (EQ TO CETIRIZINE 2HCL ),鋁箔盒裝,治療季節型及常年型過敏性鼻炎的相關症狀，包括鼻黏膜充血、打噴嚏、流鼻水、鼻腔和眼睛搔癢。,非眼科外用最終劑型,眼
"""十全""全敏舒錠（縮蘋酸卡比諾沙明）","SATINMIN TABLETS ""S.C."" (CARBINOXAMINE)",衛署藥製字第023352號,製 劑,錠劑,CARBINOXAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻涕、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""十全""美克寧錠５公絲（美奎塔令）","MEKIN TABLETS 5MG ""S.C."" (MEQUITAZINE)",衛署藥製字第039407號,製 劑,錠劑,MEQUITAZINE,塑膠瓶裝;;鋁箔盒裝,過敏性鼻炎、乾草熱、蕁麻疹、濕疹、血管性神經水腫、季節性結膜炎、藥物過敏,非眼科外用最終劑型,結膜炎
"""十全""舒鼻康膠囊","Shubico Capsules ""S.C.""",衛署藥製字第025692號,製 劑,膠囊劑,CAFFEINE ANHYDROUS;;GLYCYRRHIZINIC ACID (EQ TO GLYCYRRHETINIC ACID GLYCOSIDE)(EQ TO GLYCYRRHIZIC ACID );;CARBINOXAMINE MALEATE;;LYSOZYME CHLORIDE;;PSEUDOEPHEDRINE HCL,PTP 鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
"""南光"" 益福命注射液５公絲/公撮","EVERMIN-F INJECTION 5MG/ML ""N.K.""",衛署藥製字第045623號,製 劑,注射劑,FURSULTIAMINE (HCL),安瓿;;盒裝,腳氣病、神經炎、維生素B1缺乏症、神經痛、術後腸管麻痺、眼睛疲勞、神經性膀胱炎。,非眼科外用最終劑型,眼；眼睛疲勞
"""南光"" 賜保欣注射液2毫克/毫升","SEFORCE INJECTION 2MG/ML ""N.K.""",衛署藥製字第044809號,製 劑,注射劑,CIPROFLOXACIN (LACTATE),盒裝;;玻璃瓶裝;;塑膠軟袋裝,成人：對ciprofloxacin有感受性細菌所引起之呼吸道感染、中耳炎、竇炎、眼感染、腎臟及泌尿道感染(包括淋病)、腹部感染(包括腸炎、膽囊炎、腹膜炎)、皮膚及軟組織感染、骨髓炎、關節感染、菌血症。 小孩： －大腸桿菌(Escherichia coli)引起之複雜性泌尿道感染和腎盂腎炎(1-17歲) －綠膿桿菌(P. aeruginosa)有關之囊腫性纖維化產生急性肺部惡化的現象(5-17歲) 成人和小孩：吸入性炭疽病(接觸後),非眼科外用最終劑型,眼
"""台灣汎生""汎力黴素膠囊250毫克","PARAFLEX CAPSULES 250MG ""PANBIOTIC""",衛署藥製字第005446號,製 劑,膠囊劑,CEPHALEXIN;;CEPHALEXIN;;CEPHALEXIN,塑膠瓶裝;;PTP 鋁箔盒裝,革蘭氏陽性菌及革蘭氏陰性菌所引起之呼吸器感染症、泌尿器感染症、皮膚軟組織感染症、耳鼻感染症、眼感染症、細菌性心內膜炎,非眼科外用最終劑型,眼
"""台灣汎生""汎力黴素膠囊500毫克","PARAFLEX CAPSULES 500MG ""PANBIOTIC""",衛署藥製字第005445號,製 劑,膠囊劑,CEPHALEXIN,塑膠瓶裝;;PTP 鋁箔盒裝,革蘭氏陽性菌及革蘭陰性菌所引起之呼吸器感染症、泌尿器感染、皮膚軟組織感染症、耳鼻感染症、眼感染症、細菌性心內膜炎,非眼科外用最終劑型,眼
"""台裕"" 敏寧錠５毫克","MINING TABLETS 5MG ""TAI YU""",衛署藥製字第045382號,製 劑,錠劑,MEQUITAZINE,塑膠瓶裝;;鋁箔盒裝,乾草熱、過敏性鼻炎、蕁麻疹、濕疹、血管神經性水腫、季節性結膜炎、藥物過敏。,非眼科外用最終劑型,結膜炎
"""台裕""溴安明錠（縮蘋酸溴菲安明）","BROMPHENIRAMINE TABLETS ""TAI YU""",衛署藥製字第022529號,製 劑,錠劑,BROMPHENIRAMINE MALEATE,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(流鼻水、打噴嚏、眼睛及喉部搔癢)及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""台裕""硫酸阿托品注射液","ATROPINE SULFATE INJECTION ""TAI YU""",衛署藥製字第014355號,製 劑,注射劑,ATROPINE SULFATE,玻璃安瓿裝;;盒裝;;玻璃安瓿裝,膽石症、幽門痙攣、胃酸過多、胃痙攣、有機磷化物、毛果芸香鹼中毒、診斷用散瞳、調節痙攣、乙醚等麻醉時之抑制支氣管分泌。,非眼科外用最終劑型,散瞳
"""合誠"" 保鼻寧顆粒","PROPEERINE GRANULES ""H.C.""",衛署藥製字第016155號,製 劑,內服顆粒劑,PHENYLEPHRINE HCL;;CHLORPHENIRAMINE MALEATE;;CAFFEINE ANHYDROUS,塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
"""嘉信"" 舒您安錠","SULINAN TABLETS ""C.S.P.""",衛署藥製字第015315號,製 劑,錠劑,PSEUDOEPHEDRINE HCL;;CAFFEINE ANHYDROUS;;CHLORPHENIRAMINE MALEATE,鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
"""嘉信""貝他每松注射液４公絲/公撮","BETAMETHASONE INJECTION 4MG/ML ""C.S.P.""",衛署藥製字第021510號,製 劑,注射劑,BETAMETHASONE (SODIUM PHOSPHATE),小瓶,僂麻質斯性及過敏性疾患：風濕性關節炎、支氣管氣喘、火傷、肌無力、炎症性眼疾患,非眼科外用最終劑型,眼
"""嘉林"" 安鼻樂膠囊","ANBILO CAPSULES ""C.L.""",衛署藥製字第025821號,製 劑,膠囊劑,CAFFEINE ANHYDROUS;;PHENYLEPHRINE HCL;;CARBINOXAMINE MALEATE,PTP鋁袋盒裝;;塑膠瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
"""嘉林"" 快克敏錠5毫克","QUITAZINE TABLETS 5MG ""C.L.""",衛署藥製字第042965號,製 劑,錠劑,MEQUITAZINE,罐裝;;盒裝,乾草熱、過敏性鼻炎、尋麻疹、濕疹、血管神經性水腫、季節性結膜炎、藥物過敏。,非眼科外用最終劑型,結膜炎
"""嘉林""主鼻寧膠囊","Zupilen Capsules ""C.L.""",衛署藥製字第014236號,製 劑,膠囊劑,BELLADONNA EXTRACT;;GLYCYRRHIZINIC ACID (EQ TO GLYCYRRHETINIC ACID GLYCOSIDE)(EQ TO GLYCYRRHIZIC ACID );;PSEUDOEPHEDRINE HCL;;CHLORPHENIRAMINE MALEATE,PTP 鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
"""嘉林""安鼻康錠","ANBECON TABLETS ""C.L.""",衛署藥製字第025363號,製 劑,錠劑,PSEUDOEPHEDRINE HCL;;CARBINOXAMINE MALEATE,PTP 鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢。,非眼科外用最終劑型,眼
"""嘉林""布克利啶錠25毫克","BUCLIZINE TABLETS 25MG ""C.L.""",衛署藥製字第014459號,製 劑,錠劑,BUCLIZINE 2HCL,瓶裝,暫時緩解過敏性鼻炎，枯草熱所引起之相關症狀（流鼻涕，打噴嚏，眼睛及喉部搔癢）及過敏所引起之搔癢，皮膚癢疹。預防或緩解動暈症（暈車，暈船，暈機）引起之頭暈，噁心，嘔吐，頭痛等症狀,非眼科外用最終劑型,眼
"""嘉林""益膚健錠","EAFUGEN TABLETS""C.L""",衛署藥製字第041903號,製 劑,錠劑,PYRIDOXINE HCL;;NIACINAMIDE (NICOTINAMIDE);;BIOTIN;;CHLORPHENIRAMINE MALEATE;;RIBOFLAVIN (VIT B2),瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻涕、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""嘉林""舒鼻風錠","Subefon Tablets ""C.L.""",衛署藥製字第025870號,製 劑,錠劑,PHENYLEPHRINE HCL;;CHLORPHENIRAMINE MALEATE,塑膠罐裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢)。,非眼科外用最終劑型,眼
"""回春""敏之錠","MIN'S TABLETS ""H.C.""",衛署藥製字第017121號,製 劑,錠劑,CLEMASTINE (FUMARATE),玻璃瓶裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""回春""舒敏佳錠","PSEUDO-CARB TABLETS ""H.C.""",衛署藥製字第015293號,製 劑,錠劑,PSEUDOEPHEDRINE HCL;;CARBINOXAMINE MALEATE,潔密包盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀(鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢),非眼科外用最終劑型,眼
"""回春""賜敏安錠","HIS-AN TABLETS ""H.C.""",衛署藥製字第014778號,製 劑,錠劑,CHLORPHENIRAMINE MALEATE;;PSEUDOEPHEDRINE HCL;;CAFFEINE ANHYDROUS,鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
"""國信"" 儂鼻克錠","LONDEC TABLETS ""K.S.""",衛署藥製字第025487號,製 劑,錠劑,PSEUDOEPHEDRINE HCL;;CARBINOXAMINE MALEATE,鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（鼻塞、流鼻水、打噴嚏、眼睛及喉部搔癢）。,非眼科外用最終劑型,眼
"""國嘉"" 妥敏錠2毫克（右氯敏）","TOMIN TABLETS 2MG (DEXCHLORPHENIRAMINE) ""KOJAR""",衛署藥製字第032492號,製 劑,錠劑,DEXCHLORPHENIRAMINE MALEATE,塑膠瓶裝;;鋁箔盒裝,緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻水、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹。,非眼科外用最終劑型,眼
"""國嘉""滅潰敏錠 5 毫克","Mequimin Tablets 5 mg ""Kojar""",衛署藥製字第048929號,製 劑,錠劑,MEQUITAZINE,塑膠瓶裝;;鋁箔盒裝,過敏性鼻炎、乾草熱、蕁麻疹、血管神經性水腫、季節性結膜炎、藥物過敏。,非眼科外用最終劑型,結膜炎
"""國嘉""袪敏內服液1毫克/毫升","Cetirizine Oral Solution 1mg/mL ""Kojar""",衛部藥製字第060158號,製 劑,內服液劑,CETIRIZINE DIHYDROCHLORIDE (EQ TO CETIRIZINE 2HCL ),PE塑膠瓶裝,季節性鼻炎、過敏性鼻炎、結膜炎、蕁麻疹、過敏性搔癢等過敏現象。,非眼科外用最終劑型,結膜炎
"""培力""佈即芬錠","BUGIFENE TABLETS ""P.L.""",衛署藥製字第024004號,製 劑,錠劑,BUCLIZINE 2HCL,鋁箔盒裝;;塑膠瓶裝,暫時緩解過敏性鼻炎、枯草熱所引起之相關症狀（流鼻涕、打噴嚏、眼睛及喉部搔癢）及過敏所引起之搔癢、皮膚癢疹、預防或緩解動暈症（暈車、暈船、暈機）引起之頭暈、噁心嘔吐、頭痛等症狀。,非眼科外用最終劑型,眼
"""培力""去氫羥化腎上腺皮質素錠","PREDNISOLONE TABLETS ""P.L.""",衛署藥製字第007673號,製 劑,錠劑,PREDNISOLONE,瓶裝;;盒裝,因腎上腺皮質機能不全所引起之諸疾病、風濕性疾病、支氣管氣喘、過敏性疾病、紅斑性狼瘡、關節炎、過敏性及炎性眼科疾患,非眼科外用最終劑型,眼；眼科
"""壽元""彼痛爽注射液","VETHASONE INJECTION ""S.Y.""",衛署藥製字第011136號,製 劑,注射劑,BETAMETHASONE (AS SODIUM PHOSPHATE),盒裝;;玻璃小瓶裝;;盒裝;;玻璃安瓿裝,副腎皮質機能不全症、膠原病、僂麻質斯熱、關節僂麻質斯、痛風性關節炎、過敏性關節炎、過敏性結膜炎、濕疹、支氣管氣喘,非眼科外用最終劑型,結膜炎；過敏性結膜炎
"""壽元""樂思錠１０公絲（樂雷塔定）","LORA TABLET 10MG ""S.Y.""(LORATADINE)",衛署藥製字第042104號,製 劑,錠劑,LORATADINE,塑膠瓶裝;;鋁箔盒裝,緩解過敏性鼻炎的相關症狀、如流鼻水、鼻塞、搔癢及眼睛搔癢和灼熱感、及緩解因慢性蕁麻疹及過敏性皮膚炎所引起的症狀。,非眼科外用最終劑型,眼
