ingredient_id,ingredient_inn,ingredient_zh,indication_id,indication_standard,product_count,license_count,active_license_count,product_names,license_numbers,evidence_source,last_updated
ING0023,Mentha Oil,,IND0103,肌肉酸痛,3,3,2,痛貼貼溫感貼片劑;痛貼貼貼片劑;虎標鎮痛藥布,衛署藥製字第043030號;衛署藥輸字第018861號;衛署藥輸字第025000號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0023,Mentha Oil,,IND0003,肩膀酸痛,8,8,2,好克斯貼布;日本三笠藥膠布Ｇ;痛貼貼溫感貼片劑;痛貼貼貼片劑;脫酸寧涼藥布;脫酸寧透明藥布;藤澤藥膠布;虎標鎮痛藥布,衛署藥製字第043030號;衛署藥輸字第018206號;衛署藥輸字第018627號;衛署藥輸字第018709號;衛署藥輸字第018861號;衛署藥輸字第019787號;衛署藥輸字第020565號;衛署藥輸字第025000號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0008,Salicylic acid,,IND0142,治療疣,1,1,0,雞眼藥貼布１７％（水楊酸）〝威尼斯〞,衛署藥製字第043121號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0056,Flurbiprofen,,IND0126,外傷後之腫脹,6,6,5,〝國品〞貼痛安藥膠布;〝派源〞貼適舒藥膠布;〝護民〞氟比洛芬藥膠布;氟比洛芬貼布　〝漁人〞;滅酸寧藥膠布;祐德痛能健貼片,衛署藥製字第043180號;衛署藥製字第048883號;衛署藥製字第049107號;衛署藥製字第049208號;衛署藥製字第049235號;衛署藥輸字第025152號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0056,Flurbiprofen,,IND0136,疼痛等諸症狀的鎮痛,12,12,10,"""得生""達那芬藥布(油性基劑);""生春"" 伏痛貼布 (氟白普洛芬);""立康"" 敷炎痛貼布(氟白普洛芬);""美立堅""免普芬貼布(氟白普洛芬);〝國品〞貼痛安藥膠布;〝派源〞貼適舒藥膠布;〝護民〞氟比洛芬藥膠布;伏痛普珞藥布（油性基劑）;岐黃痠痛貼藥膠布(氟白普洛芬);氟比洛芬貼布　〝漁人〞;滅酸寧藥膠布;祐德痛能健貼片",衛署藥製字第043180號;衛署藥製字第045599號;衛署藥製字第046459號;衛署藥製字第047645號;衛署藥製字第048658號;衛署藥製字第048883號;衛署藥製字第049107號;衛署藥製字第049208號;衛署藥製字第049235號;衛署藥製字第049848號;衛署藥製字第056771號;衛署藥輸字第025152號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0002,Camphor,,IND0143,撞傷,8,8,5,"""德山""筋來爽藥膠布;""漁人"" 療痛貼藥膠布;〝國品〞療舒貼藥膠布;〝護民〞緩痛貼藥膠布;痛貼貼溫感貼片劑;痛貼貼貼片劑;脫酸寧涼藥布;脫酸寧透明藥布",衛署藥製字第043430號;衛署藥製字第048163號;衛署藥製字第049355號;衛署藥製字第049614號;衛署藥輸字第018206號;衛署藥輸字第018627號;衛署藥輸字第018861號;衛署藥輸字第025000號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0017,Glycol Salicylate,,IND0117,打傷,4,4,4,"""德山""筋來爽藥膠布;""漁人"" 療痛貼藥膠布;〝國品〞療舒貼藥膠布;〝護民〞緩痛貼藥膠布",衛署藥製字第043430號;衛署藥製字第048163號;衛署藥製字第049355號;衛署藥製字第049614號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0017,Glycol Salicylate,,IND0143,撞傷,5,5,4,"""德山""筋來爽藥膠布;""漁人"" 療痛貼藥膠布;〝國品〞療舒貼藥膠布;〝護民〞緩痛貼藥膠布;脫酸寧透明藥布",衛署藥製字第043430號;衛署藥製字第048163號;衛署藥製字第049355號;衛署藥製字第049614號;衛署藥輸字第018206號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0033,Tocopherol Acetate Alpha Dl-,,IND0117,打傷,4,4,4,"""德山""筋來爽藥膠布;""漁人"" 療痛貼藥膠布;〝國品〞療舒貼藥膠布;〝護民〞緩痛貼藥膠布",衛署藥製字第043430號;衛署藥製字第048163號;衛署藥製字第049355號;衛署藥製字第049614號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0033,Tocopherol Acetate Alpha Dl-,,IND0143,撞傷,4,4,4,"""德山""筋來爽藥膠布;""漁人"" 療痛貼藥膠布;〝國品〞療舒貼藥膠布;〝護民〞緩痛貼藥膠布",衛署藥製字第043430號;衛署藥製字第048163號;衛署藥製字第049355號;衛署藥製字第049614號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
