license_no,chinese_name,english_name,indication_raw,indication_id,indication_standard,mapping_method,confidence,review_status,source_url,notes
衛署成製字第003332號,"""人生""舒寧巴斯","SUNIN PLASTER ""JEN SHENG""",神經痛、關節痛、肩膀酸痛、腰痛、筋骨疲勞、風濕痛、扭傷、筋肉痛,IND0003,肩膀酸痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第003332號,"""人生""舒寧巴斯","SUNIN PLASTER ""JEN SHENG""",神經痛、關節痛、肩膀酸痛、腰痛、筋骨疲勞、風濕痛、扭傷、筋肉痛,IND0027,腰痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第003332號,"""人生""舒寧巴斯","SUNIN PLASTER ""JEN SHENG""",神經痛、關節痛、肩膀酸痛、腰痛、筋骨疲勞、風濕痛、扭傷、筋肉痛,IND0028,筋骨疲勞,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第003332號,"""人生""舒寧巴斯","SUNIN PLASTER ""JEN SHENG""",神經痛、關節痛、肩膀酸痛、腰痛、筋骨疲勞、風濕痛、扭傷、筋肉痛,IND0030,風濕痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第003332號,"""人生""舒寧巴斯","SUNIN PLASTER ""JEN SHENG""",神經痛、關節痛、肩膀酸痛、腰痛、筋骨疲勞、風濕痛、扭傷、筋肉痛,IND0015,扭傷,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第003332號,"""人生""舒寧巴斯","SUNIN PLASTER ""JEN SHENG""",神經痛、關節痛、肩膀酸痛、腰痛、筋骨疲勞、風濕痛、扭傷、筋肉痛,IND0029,筋肉痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第003346號,痛穩好藥布,"TOWI HO PLASTER ""AID""",肩胛酸痛、神經痛、風濕痛、腰痛、扭傷、運動後之肌肉疼痛及關節痛,IND0036,肩胛酸痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第003346號,痛穩好藥布,"TOWI HO PLASTER ""AID""",肩胛酸痛、神經痛、風濕痛、腰痛、扭傷、運動後之肌肉疼痛及關節痛,IND0001,神經痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第003346號,痛穩好藥布,"TOWI HO PLASTER ""AID""",肩胛酸痛、神經痛、風濕痛、腰痛、扭傷、運動後之肌肉疼痛及關節痛,IND0030,風濕痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
衛署成製字第003346號,痛穩好藥布,"TOWI HO PLASTER ""AID""",肩胛酸痛、神經痛、風濕痛、腰痛、扭傷、運動後之肌肉疼痛及關節痛,IND0027,腰痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
