license_no,chinese_name,english_name,dosage_form_raw,candidate_keyword,exclusion_reason,source_url,review_status,notes
衛署藥輸字第001171號,檸檬酸（二乙氨乙氧）乙基苯一戊烷羧醯,"CARBETAPENTANE CITRATE ""LEPHARMA""",（粉）,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥輸字第008443號,檸檬酸乙基苯－環戊烷羧醯,"CARBETAPENTANE CITRATE ""TROPONWERKE""",（粉）,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥輸字第012935號,萊特黴素膠囊５００公絲,RATTAPEN 500/CAPSULES,膠囊劑,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥輸字第016558號,得克嗽糖衣錠,TOCLASE SUGAR-COATED TABLETS,糖衣錠,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第000776號,蕃椒膏貼藥布,"CAPSICUM PLASTER ""K.T.""",衛生材料,PLASTER,醫療器材或衛生材料,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第001208號,咳喜糖衣錠,"COUSY S.C. TABLETS ""KINGDOM""",糖衣錠,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第020250號,止咳平糖衣錠（咳貝坦）,"TOCOLIN S.C. TABLET CARBETAPENTANE) ""EVEREST""",糖衣錠,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥製字第025376號,"""崇瑞""恩咳明糖衣錠30毫克(咳貝坦)","Atomin S.Tablets 30mg ""C.R."" (carbetapentane)",糖衣錠,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
衛署藥輸字第008693號,醫療用膠帶,YUTOKU ACETAPE,衛生材料,TAPE,醫療器材或衛生材料,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第023468號,應治凝注射液 0.75 公絲/公撮,INTEGRILIN INJECTION 0.75MG/ML,注射劑,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第024863號,抗栓通膜衣錠,Clopidogrel Winthrop Film-coated Tablets,膜衣錠,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥輸字第025326號,可保栓通膜衣錠75毫克/100毫克,CoPlavix film coated tablets 75mg/100mg,膜衣錠,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛部藥製字第058093號,栓易通膜衣錠75毫克,Pidogrel Film Coated Tablets 75mg,膜衣錠,經皮,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第001782號,咳必坦糖衣錠,CABETAN S.C. TABLETS,糖衣錠,TAPE,候選關鍵字命中但劑型非貼布或貼片製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_BY_DOSAGE,
衛署藥製字第001953號,檸檬酸卡維他戊烷,"CARBETAPENTANE CITRATE ""C.C.S.I.""",（粉）,TAPE,僅英文品名含貼片關鍵字片段，實際非貼附皮膚製劑,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,EXCLUDED_FALSE_POSITIVE,
